"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2023-10-04 00:00:00,2023-10-04,0,7000,0,3000,0,10000,3.333333333,3.333333333
2023-10-05 00:00:00,2023-10-05,1000,4000,1000,1000,2000,5000,3.5,3.5
2023-10-06 00:00:00,2023-10-06,0,5000,0,2000,0,7000,3.5,3.5
2023-10-07 00:00:00,2023-10-07,0,5000,0,2000,0,7000,3.5,3.5
2023-10-08 00:00:00,2023-10-08,0,4000,0,1000,0,5000,5,5
2023-10-09 00:00:00,2023-10-09,0,5000,1000,2000,1000,7000,2.666666667,2.666666667
2023-10-10 00:00:00,2023-10-10,0,4000,0,1000,0,5000,5,5
2023-10-11 00:00:00,2023-10-11,0,5000,0,2000,0,7000,3.5,3.5
2023-10-12 00:00:00,2023-10-12,2000,4951.1,1000,1475.6,3000,6426.7,3.807844563,3.807844563
2023-10-13 00:00:00,2023-10-13,0,7048.9,0,2524.4,0,9573.3,3.792307083,3.792307083
2023-10-14 00:00:00,2023-10-14,9475.1,7000,4000,4000,13475.1,11000,3.0593875,3.0593875
2023-10-15 00:00:00,2023-10-15,20000.3,10000,7475.6,5000,27475.9,15000,3.40471801,3.40471801
2023-10-16 00:00:00,2023-10-16,22000.1,5000,8524.4,3000,30524.6,8000,3.342872514,3.342872514
2023-10-17 00:00:00,2023-10-17,12524.4,6000,5000,3000,17524.4,9000,3.31555,3.31555
2023-10-18 00:00:00,2023-10-18,11000,6000,4000,2000,15000,8000,3.833333333,3.833333333
2023-10-19 00:00:00,2023-10-19,3000,10000,1000,4000,4000,14000,3.6,3.6
2023-10-20 00:00:00,2023-10-20,2000,6000,1000,3000,3000,9000,3,3
